fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
13035,Georgia,Butts County,1075.0,272789.0,1136.6208333333334,-61.620833333333394,RENT
13037,Georgia,Calhoun County,973.0,311497.0,1297.9041666666667,-324.9041666666667,RENT
13039,Georgia,Camden County,1225.0,449383.0,1872.4291666666668,-647.4291666666668,RENT
13043,Georgia,Candler County,973.0,291613.0,1215.0541666666668,-242.0541666666668,RENT
13049,Georgia,Charlton County,1036.0,147770.0,615.7083333333334,420.29166666666663,BUY
13051,Georgia,Chatham County,1680.0,488298.0,2034.575,-354.57500000000005,RENT
13053,Georgia,Chattahoochee County,1088.0,380225.0,1584.2708333333333,-496.27083333333326,RENT
13055,Georgia,Chattooga County,973.0,263268.0,1096.95,-123.95000000000005,RENT
13059,Georgia,Clarke County,1331.0,385674.0,1606.9750000000001,-275.97500000000014,RENT
13061,Georgia,Clay County,973.0,217970.0,908.2083333333334,64.79166666666663,BUY
13065,Georgia,Clinch County,973.0,206881.0,862.0041666666667,110.99583333333328,BUY
13069,Georgia,Coffee County,973.0,335257.0,1396.904166666667,-423.9041666666669,RENT
13071,Georgia,Colquitt County,973.0,312126.0,1300.525,-327.5250000000001,RENT
13075,Georgia,Cook County,973.0,459570.0,1914.875,-941.875,RENT
13079,Georgia,Crawford County,1307.0,325696.0,1357.0666666666668,-50.06666666666683,RENT
13081,Georgia,Crisp County,973.0,252332.0,1051.3833333333334,-78.38333333333344,RENT
13087,Georgia,Decatur County,973.0,289133.0,1204.7208333333335,-231.72083333333353,RENT
13091,Georgia,Dodge County,973.0,252524.0,1052.1833333333334,-79.1833333333334,RENT
13093,Georgia,Dooly County,973.0,302088.0,1258.7,-285.70000000000005,RENT
13095,Georgia,Dougherty County,1129.0,365834.0,1524.3083333333334,-395.3083333333334,RENT
13099,Georgia,Early County,973.0,321451.0,1339.3791666666668,-366.37916666666683,RENT
13101,Georgia,Echols County,1192.0,331921.0,1383.0041666666666,-191.0041666666666,RENT
13103,Georgia,Effingham County,1680.0,500781.0,2086.5875,-406.5875000000001,RENT
13105,Georgia,Elbert County,1074.0,164892.0,687.0500000000001,386.94999999999993,BUY
13107,Georgia,Emanuel County,973.0,101101.0,421.25416666666666,551.7458333333334,BUY
13109,Georgia,Evans County,973.0,271779.0,1132.4125000000001,-159.41250000000014,RENT
13111,Georgia,Fannin County,973.0,404585.0,1685.7708333333333,-712.7708333333333,RENT
13115,Georgia,Floyd County,1192.0,201240.0,838.5,353.5,BUY
13119,Georgia,Franklin County,1017.0,302211.0,1259.2125,-242.2125000000001,RENT
13123,Georgia,Gilmer County,1036.0,181080.0,754.5,281.5,BUY
13125,Georgia,Glascock County,973.0,319044.0,1329.3500000000001,-356.35000000000014,RENT
13127,Georgia,Glynn County,1293.0,356840.0,1486.8333333333333,-193.83333333333326,RENT
13129,Georgia,Gordon County,1011.0,312039.0,1300.1625000000001,-289.16250000000014,RENT
13131,Georgia,Grady County,973.0,229121.0,954.6708333333335,18.329166666666538,BORDERLINE
13133,Georgia,Greene County,973.0,313893.0,1307.8875,-334.88750000000005,RENT
13137,Georgia,Habersham County,1018.0,239350.0,997.2916666666666,20.70833333333337,BORDERLINE
13139,Georgia,Hall County,1514.0,456577.0,1902.404166666667,-388.4041666666669,RENT
13141,Georgia,Hancock County,973.0,248541.0,1035.5875,-62.58750000000009,RENT
13143,Georgia,Haralson County,1107.0,214460.0,893.5833333333334,213.41666666666663,BUY
13145,Georgia,Harris County,1088.0,298851.0,1245.2125,-157.2125000000001,RENT
13147,Georgia,Hart County,1042.0,304351.0,1268.1291666666668,-226.12916666666683,RENT
13153,Georgia,Houston County,1362.0,302704.0,1261.2666666666667,100.73333333333335,BUY
13155,Georgia,Irwin County,1089.0,254265.0,1059.4375,29.5625,BORDERLINE
13157,Georgia,Jackson County,1153.0,331753.0,1382.3041666666668,-229.3041666666668,RENT
13161,Georgia,Jeff Davis County,973.0,274142.0,1142.2583333333334,-169.25833333333344,RENT
13163,Georgia,Jefferson County,973.0,255253.0,1063.5541666666668,-90.55416666666679,RENT
13165,Georgia,Jenkins County,973.0,296811.0,1236.7125,-263.7125000000001,RENT
13167,Georgia,Johnson County,973.0,176500.0,735.4166666666666,237.58333333333337,BUY
13169,Georgia,Jones County,1307.0,155848.0,649.3666666666667,657.6333333333333,BUY
13171,Georgia,Lamar County,973.0,162565.0,677.3541666666666,295.64583333333337,BUY
13173,Georgia,Lanier County,1192.0,521795.0,2174.1458333333335,-982.1458333333335,RENT
13175,Georgia,Laurens County,973.0,242222.0,1009.2583333333333,-36.258333333333326,BORDERLINE
13177,Georgia,Lee County,1129.0,298668.0,1244.45,-115.45000000000005,RENT
13179,Georgia,Liberty County,1406.0,688950.0,2870.625,-1464.625,RENT
13181,Georgia,Lincoln County,995.0,225879.0,941.1625,53.83749999999998,BUY
13183,Georgia,Long County,1133.0,317937.0,1324.7375,-191.73749999999995,RENT
13185,Georgia,Lowndes County,1192.0,365552.0,1523.1333333333334,-331.13333333333344,RENT
13187,Georgia,Lumpkin County,1245.0,380647.0,1586.029166666667,-341.0291666666669,RENT
13193,Georgia,Macon County,973.0,226264.0,942.7666666666668,30.233333333333235,BORDERLINE
13195,Georgia,Madison County,1331.0,423197.0,1763.3208333333334,-432.32083333333344,RENT
13197,Georgia,Marion County,1088.0,223082.0,929.5083333333333,158.49166666666667,BUY
13191,Georgia,McIntosh County,1293.0,162016.0,675.0666666666667,617.9333333333333,BUY
13199,Georgia,Meriwether County,1001.0,261346.0,1088.9416666666668,-87.94166666666683,RENT
13201,Georgia,Miller County,973.0,343720.0,1432.1666666666667,-459.16666666666674,RENT
13205,Georgia,Mitchell County,973.0,156804.0,653.35,319.65,BUY
13207,Georgia,Monroe County,1174.0,444907.0,1853.779166666667,-679.7791666666669,RENT
13209,Georgia,Montgomery County,973.0,311387.0,1297.4458333333334,-324.44583333333344,RENT
13211,Georgia,Morgan County,1442.0,527821.0,2199.254166666667,-757.2541666666671,RENT
